SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
191,Agni Sriramachandran,CHENNAI SOUTH,IND,0,10th Pass,"Rs 30,00,000","Rs 0, "
192,Agri Krishnamurthy S S,TIRUVANNAMALAI,AIADMK,,Graduate Professional,"Rs 7,04,03,250","Rs 98,87,013, "
193,Ahamed Shahjahan.M,SALEM,IND,0,Post Graduate,"Rs 43,00,000","Rs 0, "
194,Ahemad Rahim Shaikh,JALNA,IND,0,12th Pass,Nil,"Rs 0, "
195,Aher Sharad Keru,NASHIK,IND,0,Graduate,"Rs 3,78,603","Rs 0, "
196,Ahir Hansraj Gangaramji,CHANDRAPUR,BJP,0,10th Pass,"Rs 1,83,00,860","Rs 45,386, "
197,Ahirwar Shripat Shikshak,TIKAMGARH,Poorvanchal Rashtriya Congress,0,12th Pass,"Rs 9,17,000","Rs 0, "
198,Ahmad Ansari,GIRIDIH,Bhartiya Lokmat Rashtrwadi Party,0,Literate,"Rs 2,90,000","Rs 0, "
199,Ahmed Ali Khan,KURNOOL,INC,0,12th Pass,"Rs 15,88,31,414","Rs 0, "
200,Ahmed Khan,BANGALORE NORTH,Bahujan Maha Party,0,10th Pass,"Rs 7,139","Rs 0, "
201,Ahmed Shakil Sagir Ahmed Shaikh,MUMBAI SOUTH CENTRAL,BSP,,5th Pass,"Rs 36,47,388","Rs 0, "
202,Aila Prasanna,KARIMNAGAR,Anti Corruption Dynamic Party,0,Illiterate,"Rs 2,50,000","Rs 0, "
203,Ainul Haque,MANGALDOI,Asom Jana Morcha,0,10th Pass,"Rs 20,00,000","Rs 0, "
204,Aishwarya Arjun Salgaonkar,NORTH GOA,IND,,10th Pass,"Rs 2,34,069","Rs 0, "
205,Aitawade Vidyasagar Devappa,HATKANANGLE,IND,0,Literate,"Rs 1,60,000","Rs 0, "
206,Aitha Praveen Kumar,WARANGAL,IND,0,12th Pass,"Rs 10,000","Rs 0, "
207,Aiyyar Ganesh,MUMBAI NORTH EAST,Bahujan Maha Party,0,Graduate Professional,"Rs 4,14,28,196","Rs 26,50,010, "
208,Ajaib Singh,PATIALA,Rashtriya Janshakti Party (Secular),0,10th Pass,"Rs 12,35,000","Rs 0, "
