SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
216,Jual Oram,SUNDARGARH,BJP,2,Others,"Rs 7,41,85,014","Rs 1,27,43,330, "
217,Jugal Kishore,JAMMU,BJP,,10th Pass,"Rs 5,64,81,801","Rs 35,00,40,219, "
218,Jyotirmay Singh Mahato,PURULIA,BJP,2,Graduate Professional,"Rs 22,50,540","Rs 4,56,100, "
219,Jyotsna Mahant,KORBA,INC,,Post Graduate,"Rs 15,06,39,697","Rs 0, "
220,K Shanmugasundaram,POLLACHI,DMK,,Graduate Professional,"Rs 13,31,09,284","Rs 1,33,60,639, "
221,K Sudhakaran,KANNUR,INC,3,Post Graduate,"Rs 2,96,99,206","Rs 74,68,633, "
222,K. Muraleedharan,VADAKARA,INC,3,Graduate,"Rs 11,43,79,340","Rs 0, "
223,K. Navaskani,RAMANATHAPURAM,IUML,1,12th Pass,"Rs 36,47,38,171","Rs 4,70,08,615, "
224,Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP,,12th Pass,"Rs 3,59,00,763","Rs 8,28,961, "
225,Kailash Choudhary,BARMER,BJP,2,Graduate,"Rs 24,02,250","Rs 0, "
226,Kalyan Banerjee,SREERAMPUR,AITC,,Graduate Professional,"Rs 17,59,68,902","Rs 55,22,403, "
227,Kamlesh Paswan,BANSGAON,BJP,5,Graduate,"Rs 17,17,06,883","Rs 60,49,264, "
228,Kanakmal Katara,BANSWARA,BJP,,Graduate Professional,"Rs 5,87,11,904","Rs 17,46,729, "
229,Kanimozhi Karunanidhi,THOOTHUKKUDI,DMK,6,Graduate Professional,"Rs 30,33,73,130","Rs 1,92,90,928, "
230,Kanumuru Raghu Rama Krishna Raju,NARSAPURAM,YSRCP,3,Post Graduate,"Rs 3,25,94,05,378","Rs 1,01,44,67,354, "
